date,campaign_name,impressions,clicks,spend,conversions,revenue
2026-03-23,Retargeting,5186,1332,251.51,73,5056.33
2026-03-23,Prospecting Meta,10633,128,178.76,1,232.0
2026-03-23,YouTube Awareness,7475,140,255.54,9,1928.21
2026-03-23,Display Remarketing,3622,441,152.66,29,4817.15
2026-03-24,Brand Search,17156,554,479.97,49,6302.75
2026-03-24,Generic Search,5067,1486,188.28,31,1684.31
2026-03-24,Retargeting,8819,1236,591.15,100,24035.83
2026-03-24,Prospecting Meta,9715,850,246.7,50,8266.85
2026-03-24,YouTube Awareness,2481,300,628.18,3,578.76
2026-03-24,Display Remarketing,3240,160,566.3,6,1272.07
2026-03-25,Brand Search,3252,207,571.02,8,926.44
2026-03-25,Generic Search,18314,916,152.61,97,14918.52
2026-03-25,Retargeting,2338,760,619.28,59,10660.28
2026-03-25,Prospecting Meta,6873,1139,743.94,31,7199.83
2026-03-25,YouTube Awareness,14045,434,573.07,22,5366.29
2026-03-25,Display Remarketing,3500,693,608.8,10,1497.11
2026-03-26,Brand Search,2614,1396,537.63,44,5835.14
2026-03-26,Generic Search,14651,138,286.47,10,1069.38
2026-03-26,Retargeting,17520,115,370.11,9,1233.07
2026-03-26,Prospecting Meta,2545,513,50.18,12,2830.13
2026-03-26,YouTube Awareness,9206,913,313.03,76,13054.99
2026-03-26,Display Remarketing,12616,365,118.77,15,2906.66
2026-03-27,Brand Search,4050,1265,272.75,102,5046.06
2026-03-27,Generic Search,6494,916,343.72,27,5604.6
2026-03-27,Retargeting,14260,1038,491.42,118,27114.28
2026-03-27,Prospecting Meta,16561,1276,607.51,19,4102.92
2026-03-27,YouTube Awareness,7429,984,672.98,13,1568.57
2026-03-27,Display Remarketing,19320,852,767.95,80,6834.24
2026-03-28,Brand Search,15832,1222,497.96,70,10020.44
2026-03-28,Generic Search,16551,102,661.87,2,305.53
2026-03-28,Retargeting,6675,1480,118.62,137,31049.28
2026-03-28,Prospecting Meta,7016,837,696.6,66,7805.46
2026-03-28,YouTube Awareness,16663,1374,592.57,74,13577.84
2026-03-28,Display Remarketing,14880,1237,421.36,66,10481.05
2026-03-29,Brand Search,3312,1385,440.95,127,9357.87
2026-03-29,Generic Search,8924,462,229.02,39,3109.72
2026-03-29,Retargeting,18106,656,703.88,11,737.69
2026-03-29,Prospecting Meta,13700,181,663.48,15,620.12
2026-03-29,YouTube Awareness,11882,1236,469.88,24,1005.72
2026-03-29,Display Remarketing,3007,1449,262.51,16,3462.81
2026-03-30,Brand Search,3435,671,184.62,60,12112.76
2026-03-30,Generic Search,9491,830,174.78,66,14454.47
2026-03-30,Retargeting,6799,786,776.66,54,2438.82
2026-03-30,Prospecting Meta,13296,978,416.48,70,9064.87
2026-03-30,YouTube Awareness,8540,138,445.27,10,2163.89
2026-03-30,Display Remarketing,15998,1073,222.54,29,7026.11
